"hagrid";"gene_name";"hgncid";"entrezid";"organism";"cancer_type";"senescence_effect";"description";"notes"
"172";"PDCD10";"8761";"11235";"Human";"No";"Induces";"Loss of CCM3 (PDCD10) impaired the senescence response. CCM3 normally acts to induce the transcription factor C/EPB-beta, which normally implements the SASP. Induction of C/EBP-beta and cytokines was impaired in the absence of CCM3 in response to cytokines in nonsenescent cells, pointing to it being a primary defect and not secondary to impaired senescence. CCM3-deficient cells also had a defect in autophagy at late passages of culture and this defect was not dependent on impaired senescence, as it was evident in immortal cells after nutrient starvation. It was further postulated that these two defects may be related, as enforcing autophagy in CCM3-deficient late passage cells increases C/EBP-beta cytokine expression.";"HCAEC cells, hTERT-RPE1, and IMR-90 cells"
"173";"PDIK1L";"18981";"149420";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"174";"PDZD2";"18486";"23037";"Human";"Yes";"Induces";"Expression of PDZD2 induced senescence of prostate cancer cells (DU145) and quiescence of breast cancer cells (MCF-7) and liver cancer cells (Hep-G2).";"No access to full article"
"175";"PDPK1";"8816";"5170";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"176";"PEBP1";"8630";"5037";"Human";"Yes";"Induces";"Overexpression of RKIP (PEBP1) induced cellular senescence in several types of cell lines, including p53-deficient cells, whereas the elimination of RKIP by siRNA or forced expression of ERK blocked p53-mediated cellular senescence.";"A549, MKN45, MKN74, PC3, and HCT116 cells"
"177";"PEX19";"9713";"5824";"Human";"Yes";"Induces";"Overexpression of PEX19 made cells more sensitive to 5AZA-dC-induced senescence, induces a stronger growth arrest and enhanced induction of p16.";""
"178";"PIAS4";"17002";"51588";"Human";"No";"Induces";"Overexpression of PIAS4 lead to a irreversible cell growth arrest (predominantly in the G1 phase), with cells exhibiting a flat cell morphology, increased SA-beta-galactosidase activity and an increased formation of SA-heterochromatin foci.";""
"179";"PIK3R5";"30035";"23533";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"180";"PIK3C2A";"8971";"5286";"Human";"Yes";"Unclear";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including PIK3C2A) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"181";"PIM1";"8986";"5292";"Human";"No";"Induces";"The expression of proto-oncogene PIM1 was induced at the transcriptional level during senescence. Ectopic expression of PIM1 resulted in premature senescence. Conversely, inhibition of PIM1 alleviated both replicative and oncogene-induced senescence. It was found that PIM1 interacted with, and phosphorylated, heterochromatin protein 1 gamma (HP1-gamma) on Ser93. This PIM1-mediated HP1-gamma phosphorylation, enhanced HP1-gamma's capacity to bind to H3K9me3, resulting in SA-heterochromatin foci formation and suppression of proliferative genes, such as CCNA2 and PCNA. Analysis of the mechanism underlying the up-regulation of PIM1 expression during senescence demonstrated that IL-6 was responsible for PIM1 induction.";"Human diploid fibroblasts 2BS and BJ cells, and WI-38 cells"
"182";"PLA2R1";"9042";"22925";"Human";"No";"Induces";"Knockdown of the M-type receptor PLA2R1 prevented the onset of replicative senescence and diminished stress-induced senescence. Contrastly, ectopic expression of PLA2R1 resulted in premature senescence.";""
"183";"PKM";"9021";"5315";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"184";"PML";"9113";"5371";"Human";"No";"Induces";"Overexpression of PML induced senescence in human lung fibroblasts, in a p53-dependent manner. PML-overexpressing fibroblasts had arrested proliferation, accumulating in the G1 phase with no BrdU incorporation. The cells demonstrated a senescence phenotype becoming flat and enlarged and displayed increased SA-beta-galactosidase activity.";""
"185";"PNPT1";"23166";"87178";"Human";"Yes";"Induces";"Overexpression of PNPT1 in melanoma cells (HO-1, FO-1, MeWo) promoted a senescence-like phenotype characterized by growth arrest in the G1 phase, inhibition of DNA synthesis and telomerase activity, downregulation of c-myc and upregulation of senescence associated p27.";"Changed ref from PMID: 16055741"
"186";"PMVK";"9141";"10654";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"187";"POT1";"17284";"25913";"Human";"No";"Inhibits";"RNA interference of POT1 lead to the loss of telomeric single-stranded overhangs and induced apoptosis, chromosomal instability, and senescence in cells.";""
"188";"POU5F1";"9221";"5460";"Human";"No";"Induces";"Overexpression of OCT4 (POU5F1) induced early senescence and resulted in increased expression of senescence factors, P14 and P16, in human mesenchymal stromal cells.";"Human mesenchymal stromal cells (MSC)"
"189";"PPM1B";"9276";"5495";"Human";"No";"Inhibits";"PPM1B depletion induced a robust senescence phenotype as evidenced by significant growth arrest and senescence marker expression. Given that PPM1B depletion-induced senescence was partially rescued by inactivating p38 MAPK, the results identified PPM1B as a critical regulator of both p38 MAPK-dependent and independent senescence pathways during the normal cellular aging process.";"IMR-90 cells"
"190";"PPM1D";"9277";"8493";"Human";"No";"Inhibits";"Expression of the WIP1 protein (encoded by the PPM1D gene) significantly lowered the expression of p16 and lead to p38 MAPK inactivation, ultimately leading to a delayed cellular senescence of human mesenchymal stem cells (MSCs), including extended replicative potential and normal morphology, in addition to longer maintenance of cell multilineage differentiation potential.";""
"191";"PRMT6";"18241";"55170";"Human";"Yes";"Inhibits";"Knockdown of PRMT6 resulted in p21 derepression in breast cancer cells leading to cell cycle arrest, cellular senescence and reduced growth in soft agar assays (and in severe combined immuno-deficiency mice) for all the cancer lines examined.";"Human breast cancer cell line MCF-7, MDA-MB-231, SK-BR-3, MDA-MB-468, MCF-10A and BT474"
"192";"PRKCH";"9403";"5583";"Human";"Yes";"Induces";"It was shown that PKC-eta (PRKCH), an epithelial specific and anti-apoptotic kinase, promoted senescence induced by oxidative stress and DNA damage. In PKC-eta known down cells SA-beta-galactosidase activity was significantly lower compared to control cells in response to oxidative stress. In cells overexpressing PKC-eta senescence was promoted due to upregulation of cell cycle inhibitors p21 and p27 and enhanced transcription and secretion of IL-6. PKC-eta was further shown to create a positive loop for reinforcing senescence by increasing the transcription of both IL-6 and IL-6 receptor, whereas the expression of IL-8 was specifically suppressed by PKC-eta.";"MCF-7 breast cancer cell line"
"193";"PRKCD";"9399";"5580";"Human";"No";"Induces";"Adenoviral transduction of PKC-delta (PRKCD) induced growth inhibition in lung fibroblasts (TIG-1 cells), causing enlarged and flattened cell morphology and increased SA-beta-galactosidase activity. Contrastly, RNA interference of PKC-delta antagonized oncogenic ras induced premature senescence.";""
"194";"PROX1";"9459";"5629";"Human";"Yes";"Induces";"It was demonstrated that PROX1 induced a senescence-like phenotype in liver cancer cells and resulted in reduced cell proliferation. p53 was found to be a key mediator of PROX1-induced growth suppression because Prox1 only induced senescence-like phenotype in HCC cells harboring wild type p53. In addition, knockdown of p53 by shRNA reversed the effect of PROX1.";"HCC cell lines HepG2, Hep3B, Mahlavu and SK-HEP-1"
"195";"PRPF19";"17896";"27339";"Human";"No";"Inhibits";"Overexpression of SNEV (PRPF19) lead to a significant extension of cellular lifespan, delayed senescent cell morphology and decreased SA-beta-galactosidase activity.";""
"196";"PSMB5";"9542";"5693";"Human";"No";"Inhibits";"PSMB5 knockdown led to decreased proteasomal activity concurrent with reduced cell proliferation in early-stage hBMSCs, which was similar to the senescent phenotype observed in late-stage cells. In contrast, overexpressing PSMB5 in late-stage cells efficiently restored the normal activity of 20S proteasomes and promoted cell growth, possibly via upregulating the Cyclin D1/CDK4 complex. Additionally, PSMB5 enhanced cell resistance to oxidative stress evidenced by the increased cell survival upon exposing senescent hBMSCs to hydrogen peroxide.";"Multipotent human bone marrow stromal cells"
"197";"PTRF";"9688";"284119";"Human";"No";"Induces";"Overexpression of PTRF induced characteristic features of cellular senescence, whereas reduced PTRF expression extended the cellular replicative lifespan.";"WI-38, IMR-90 human diploid fibroblasts and HeLa cells"
"198";"PTTG1";"9690";"9232";"Human";"No";"Induces";"Overexpression of PTTG1 in normal human fibroblasts inhibited cell proliferation and resulted in several signs of cellular senescence, including increased SA-beta-galactosidase activity, decreased BrdU incorporation and increased SA-heterochromatin foci formation. The PTTG1-induced senescence was p53-dependent and telomerase-independent.";""
"199";"PSMD14";"16889";"10213";"Human";"Yes";"Inhibits";"In several carcinoma cell types, down-regulation of PSMD14 by siRNA reduced cell viability causing cell arrest in the G0-G1 phase and ultimately leading to cellular senescence. This was accompanied by down-regulation of cyclin B1-CDK1-CDC25C, down-regulation of cyclin D1, up-regulation of p21 and p27, and reduction in phosphorylation of the Rb protein.";""
"200";"RAD21";"9811";"5885";"Human";"No";"Inhibits";"RAD21 knockdown resulted in the appearance of several senescent markers, including increased SA-beta-galactosidase activity and SA-heterochromatin foci formation, as well as elevated p21 protein levels and RB1 pathway activation. Further biochemical analysis revealed that RAD21 knockdown led to the downregulation of c-Myc and its targets including CDK4, a negative regulator of RB1. This blocked RB1 phosphorylation and the RB1-mediated transcriptional repression of E2F.";"MDA-MB-231 human breast cancer cells."
"201";"RAF1";"9829";"5894";"Human";"No";"Induces";"Activation of RAF1 in normal human lung fibroblasts lead to an irreversible arrest of cellular proliferation and the premature onset of senescence, including induction of p21 and p16, morphological changes specific to senescence and increased SA-beta-galactosidase activity.";""
"202";"RB1";"9884";"5925";"Human";"No";"Induces";"RB1 expression was knocked down in primary osteoblasts. These were then exposed to ionising radiation. Survival was enhanced in cells where RB1 had been knocked down due to the attenuated induction of senescence. Control cells showed increased SA-beta-galactosidase activity and changes in morphology when compared to cells where RB1 had been inhibited, demonstrating a role for RB1 in stress induced senescence.";""
"203";"RBP2";"9920";"5948";"Human";"Yes";"Inhibits";"In gastric and cervical cancer cells, RBP2-depletion induced cellular senescence, including growth arrest, diminished foci numbers and elevated expression of cyclin-dependent kinase inhibitors p21, p27 and p16.";""
"204";"RBX1";"9928";"9978";"Human";"Yes";"Inhibits";"RNA interference of ROC1 (RBX1), which is overexpressed in a number of human cancer cell lines, significantly inhibited the growth of these cells via induction of senescence and apoptosis as well as G(2)-M arrest.";""
"205";"RNASEL";"10050";"6041";"Human";"No";"Induces";"Ectopic expression of RNase-L (RNASEL) induced a senescent morphology, a decrease in DNA synthesis, an increase in SA-beta-galactosidase activity, and accelerated replicative senescence. In contrast, senescence was retarded in RNase-L-null fibroblasts.";""
"206";"RPS6KA6";"10435";"27330";"Human";"No";"Induces";"Overexpression of RSK4 (RPS6KA6) induced cell arrest and cell senescence features (including morphogenic changes, increased SA-beta-galactosidase activity, increased SA-heterochromatin foci and an increase in p21 and p16 markers) both in normal fibroblasts and malignant colon carcinoma cell lines. Contrastly, RSK4 inhibition induced resistance to cellular senescence.";""
"207";"RSL1D1";"24534";"26156";"Human";"No";"Inhibits";"Overexpression of CSIG (RSL1D1) lead to elevated proliferation rates, increased S phase, reduced G1 phase and lower SA-beta-galactosidase activity. By contrast, cells expressing reduced CSIG levels displayed decreased proliferation rates, smaller S and G2/M phases and enhanced SA-beta-galactosidase activity.";""
"208";"RUNX1";"10471";"861";"Human";"No";"Induces";"Expression of RUNX1 in human primary foreskin fibroblasts induced growth arrest with cells showing the early onset of senescence, a flattened, enlarged morphology and increased SA-beta-galactosidase activity.";""
"209";"RUVBL2";"10475";"10856";"Human";"Yes";"Inhibits";"Depletion of reptin (RUVBL2) expression substantially inhibited clonogenic cancer cell potential and induced senescence of kidney cancer cells. Moreover, reptin depletion attenuated migration and the invasive ability of kidney cancer cells in vitro.";"Human RCC cell lines A498 and KRC/Y"
"210";"SENP1";"17927";"29843";"Human";"No";"Inhibits";"Repression of SENP1 by RNA interference resulted in dramatic growth inhibition, cells adopting a senescent morphology and positive staining for SA-beta-galactosidase activity.";""
"211";"SENP2";"23116";"59343";"Human";"No";"Inhibits";"Repression of SENP2 by RNA interference resulted in dramatic growth inhibition, cells adopting a senescent morphology and positive staining for SA-beta-galactosidase activity.";""
"212";"SENP7";"30402";"57337";"Human";"No";"Inhibits";"Repression of SENP7 by RNA interference resulted in dramatic growth inhibition, cells adopting a senescent morphology and positive staining for SA-beta-galactosidase activity.";""
"213";"SERPINE1";"8583";"5054";"Human";"No";"Induces";"RNA interference of PAI-1 (SERPINE1), a p53 target, lead to escape from replicative senescence in primary foreskin fibroblasts (BJ cells). Moreover, expression of PAI-1 in p53-knockdown cells restored cellular senescence, as observed by a flat-cell morphology and positive staining for SA-beta-galactosidase.";""
"214";"SFN";"10773";"2810";"Human";"Yes";"Induces";"Overexpression of SFN induced cellular senescence in melanoma cells and was involved in melanoma cell senescence under genotoxic stress.";""
"215";"SIK1";"11142";"150094";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"216";"SGK1";"10810";"6446";"Human";"No";"Inhibits";"Umbilical vein endothelial cells overexpressing full-length SGK1 showed a decrease in SA-beta-galactosidase and p21 expression and a corresponding increase in hTERT activity in the early stages of aging.";"Human umbilical vein endothelial cells (HUVECs)"
"217";"SIN3B";"19354";"23309";"Human";"No";"Induces";"SIN3B overexpression induced senescence in primary human fibroblasts (IMR-90) with the cells displaying increased SA-beta-galactosidase activity compared to controls.";"Article is mostly about MEFs, but they have a small experiment in human lung fibroblasts"
"218";"SIRT1";"14929";"23411";"Human";"No";"Inhibits";"Overexpression of SIRT1 promoted cell proliferation and antagonized cellular senescence with characteristic features of delayed senescence, including reduced SA-beta-galactosidase staining, reduced SA-heterochromatin foci formation and G1 phase arrest, increased cell growth rate and extended cellular lifespan in human fibroblasts.";""
"219";"SIRT6";"14934";"51548";"Human";"No";"Inhibits";"SIRT6 inhibition significantly reduced proliferation and increased SA-beta-galactosidase positive chondrocytes. SIRT6 inhibition also led to increased p16 levels. Immunofluorescence microscopy showed that gamma-H2AX foci and TIFs were increased by SIRT6 inhibition.";"Human chondrocytes"
"220";"SIX1";"10887";"6495";"Human";"No";"Inhibits";"Silencing of SIX1 in human fibroblasts triggered senescence, which was mediated by p16 and lacked a canonical senescence-associated secretory phenotype. SIX1-associated senescence was further characterized by the expression of a set of development and differentiation-related genes that significantly overlapped with genes associated with SIX1 in organogenesis or human tumors. These genes also show regulation in oncogene-induced senescence.";"IMR-90 cells"
"221";"SLC13A3";"14430";"64849";"Human";"No";"Induces";"Overexpression of NaDC3 ( SLC13A3) accelerated cellular senescence in young human diploid cells (MRC-5 and WI-38) and primary renal tubular cells, leading to cell cycle arrest in G1 phase and increased expression of senescence biomarkers: SA-beta-galactosidase  and p16.";"Human diploid cells (MRC-5 and WI-38) and primary renal tubular cells"
"222";"SLC16A7";"10928";"9194";"Human";"Yes";"Inhibits";"Knockdown of monocarboxylate transporter 2 (SLC16A7), a protein which is tumor-selectively expressed in human colorectal malignancies, induced mitochondrial dysfunction, cell-cycle arrest and senescence without additional cellular stress in colorectal cancer cell lines.";"Human colon carcinoma (LoVo, HT29, HCT8, HCT116, SW480, and DLD1) and gastric carcinoma (MKN45 and MKN74) cells"
"223";"SMARCA4";"11100";"6597";"Human";"No";"Inhibits";"Knockdown of BRG1 (SMARCA4) expression in mesenchymal stem cells induced a significant increase in senescent cells and a decrease in apoptotic cells. This was also accompanied by an increase in heterochromatin and activation of the retinoblastoma-like protein 2 (RB2)/P130- and P53-related pathways.";""
"224";"SMG1";"30045";"23049";"Human";"Yes";"Inhibits";"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including SMG1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression.";"hTERT-RPE1, 293T cells"
"225";"SMARCB1";"11103";"6598";"Human";"Yes";"Induces";"Expression of hSNF5 (SMARCB1) in malignant rhabdoid tumor cells (G-401) blocked cell proliferation and induced senescence. Cells accumulated in the G1 phase and displayed characteristic features of cellular senescence including enlarged, flat cell morphology and increased SA-beta-galactosidase.";""
"226";"SMURF2";"16809";"64750";"Human";"No";"Induces";"Overexpression of SMURF2 in early passage fibroblasts resulted in proliferative arrest, increased SA-beta-galactosidase activity, flat cell morphology and senescence-specific alterations in gene expression.";""
"227";"SNAI1";"11128";"6615";"Human";"yes";"Inhibits";"Suppression of Snail (SNAI1) expression induced senescence in LNCaP cells.";"Prostate carcinoma cell lines: LNCaP and PC-3"
"228";"SOCS1";"19383";"8651";"Human";"No";"Induces";"Expression of SOCS1 inhibited cell growth and induced senescence in normal lung fibroblasts, displaying an increase in SA-beta-galactosidase staining, accumulation of PML bodies, increased levels of p53 and p21, and a reduction in Rb1 phosphorylation. Inactivation of SOCS1 disabled p53-dependent senescence in response to oncogenic STAT5A and radiation-induced apoptosis in T cells.";""
"229";"SOD1";"11179";"6647";"Human";"No";"Inhibits";"RNA interference of SOD1 induced cellular senescence in normal human fibroblasts, with cells exhibiting a flat and enlarged cell morphology, and an increase in SA-beta-galactosidase activity.";""
"230";"SORBS2";"24098";"8470";"Human";"No";"Induces";"SORBS2 and TLR3 were found to induce senescence in primary human fibroblasts and keratinocytes but not in HPV-immortalized cell lines.";"Primary human keratinocytes and fibroblasts"
"231";"SOX2";"11195";"6657";"Human";"Yes";"Induces";"It was found that SOX2 induced autophagy enhanced cellular senescence by up-regulating tumor suppressors or senescence factors, including p16, p21 and phosphorylated p53 (Ser15).";"HEK293T, HCT116, CCD-18Co, HT29, and WiDr cells"
"232";"SPIN1";"11243";"10927";"Human";"Yes";"Induces";"Overexpression of SPINDLIN1 (SPIN1) in HeLa cells resulted in multinucleation with cells exhibiting characteristic features of senescence and apoptosis, including morphological alterations and increased SA-beta-galactosidase activity.";""
"233";"SOX5";"11201";"6660";"Human";"Yes";"Induces";"Overexpression of SOX5, which is downregulated in glioma cells, inhibited clone formation and proliferation.";"The paper is focusing mainly on PDGFB-induced mouse gliomas. The human experiments are very limited (no morphology, no SA-B-gal)"
"234";"SP1";"11205";"6667";"Human";"No";"Induces";"Overexpression of SP1 induced p16 promoter activity and increased SA-beta-galactosidase activity. In contrast, knock-down of SP1 lead to reduced SA-beta-galactosidase staining.";""
"235";"SPOP";"11254";"8405";"Human";"No";"Induces";"It was shown that SPOP promoted senescence by targeting the SENP7 deSUMOylase for degradation. SPOP was upregulated during senescence. This correlated with ubiquitin-mediated degradation of SENP7, which promoted senescence by increasing HP1-alpha sumoylation and the associated epigenetic gene silencing. Ectopic wild-type SPOP but not its cancer-associated mutants was found to drive senescence. Conversely, SPOP knockdown overcame senescence.";"Human foetal lung (IMR-90) cells"
"236";"SRC";"11283";"6714";"Human";"Yes";"Inhibits";"Overexpression of SRC lead to the inhibition of Adriamycin-induced senescence, including inhibition of G2-G1 checkpoints.";""
"237";"SREBF1";"11289";"6720";"Human";"No";"Induces";"Ectopic expression of the mature form of SREBP-1 (SREBF1) in primary young human diploid fibroblasts induced cellular senescence.";""
"238";"SRSF1";"10780";"6426";"Human";"No";"Induces";"Consistent with the stabilization of p53, increased SRSF1 expression in primary human fibroblasts decreased cellular proliferation and ultimately triggered oncogene-induced senescence (OIS).";"BJ, HeLa, U2OS, and NCI-H1299 cells"
"239";"STAT5B";"11367";"6777";"Human";"No";"Induces";"STAT5B was overexpressed in normal lung fibroblasts. Constitutive activation of the JAK/STAT5 signalling pathway induced cellular senescence through the activation of the p53 and Rb tumor suppressor pathways and mitochondrial dysfunction.";""
"240";"STK32C";"21332";"282974";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"241";"STK40";"21373";"83931";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"242";"SUPT5H";"11469";"6829";"Human";"Yes";"Inhibits";"Knockdown of Spt5 (SUPT5H) caused senescence, with cells arrested in the G1 phase and apoptosis.";""
"243";"SYK";"11491";"6850";"Human";"Yes";"Induces";"Expression of SYK in melanoma cells, which normally display lost expression, induced p53-dependent expression of p21 and promoted a senescence-like phenotype, including enlarged cell morphology, increased SA-beta-galactosidase activity and an increase in SA-heterochromatin foci.";""
"244";"TACC3";"11524";"10460";"Human";"Yes";"Inhibits";"RNAi-mediated depletion of TACC3 in breast carcinoma cells resulted in a progressive loss of the pro-apoptotic Bcl-2 protein Bim, upregulation of p21, downregulation of the RB and extracellular signal-regulated kinase 1/2, ultimately leading to cell arrest in the G1 phase. Cells showed a senescent phenotype including formation of SA-heterochromatin foci and increased SA-beta-galactosidase activity.";""
"245";"TERC";"11727";"7012";"Human";"Yes";"Inhibits";"TERC is the RNA component of telomerase. Cervical cancer cells (HeLa) transfected with antisense hTR (TERC) lost telomeric DNA and their proliferative capacity after 23 to 26 doublings.";""
"246";"TBX2";"11597";"6909";"Human";"Yes";"Inhibits";"Expression of dnTBX2, a dominant-negative of endogenous TBX2, induced senescence in CDKN2A-null B16 melanoma cells, with an observed increase in the level of p21, increased formation of SA-heterochromatin foci, increased SA-beta-galactosidase activity and reduced proliferation.";""
"247";"TERF2";"11729";"7014";"Human";"Yes";"Inhibits";"Knockdown of TERF2 in neuroblastoma cells resulted in a significant reduction in their proliferation, accompanied by a decrease of BrdU incorporation, limited growth rate and increased expression of SA-beta-galactosidase.";"Paper also has non-cancer cell experiments (astrocytes), but using rat cells"
"248";"TERT";"11730";"7015";"Human";"No";"Inhibits";"Expression of TERT (hTRT) delayed senescence in normal retinal pigment epithelial cells. RPE-340 cells were transfected with a MPSV-hTRT vector. In cells without hTRT activity (hTRT- RPE) telomere length was found to decrease. In cells that expressed telomerase activity (hTRT+ RPE) endogenous telomere length increased. hTRT+ RPE clones exceeded the mean lifepspan of hTRT- RPE by ~20 doublings, exceeding the maximal RPE life-span. hTRT- RPE clones showed high levels of SA-beta-galactosidase staining. In contrast few of the hTRT+ RPE clones showed staining.";""
"249";"TFAP4";"11745";"7023";"Human";"Yes";"Induces";"Long term cultures of confluent retinal pigment epithelial (RPE) cells were used as a model to examine the role of overexpression of AP4 (TFAP4), a highly expressed transcription factor in many types of cancer, in senescence. Stable inducible RPE cell clones expressing AP4 or AP4 without the DNA binding domain (DN-AP4) were cultured for 24 days. AP4-expressing cells exhibited large, flattened morphology, ceased proliferating, exhibited increased SA-beta-galactosidase activity and the SASP. These changes were not observed in DN-AP4-expressing cells or non-induced cells.";"hTERT-RPE cells (or RPE cells), an immortalized human retinal pigment epithelial cell line, and MCF-7, a human breast carcinoma cell line"
"250";"TFDP1";"11749";"7027";"Human";"Yes";"Inhibits";"Impairment of TFDP1, but not TFDP2, increased senescence in diploid fibroblasts but not in p53 null Saos-2 osteosarcoma cells.";"HeLa, A549 and WI-38 diploid fibroblasts"
"251";"TGFB1I1";"11767";"7041";"Human";"No";"Induces";"The ectopic expression of HIC-5 (TGFB1I1) in nontumorigenic immortalized human fibroblasts decreased colony-forming efficiency and lead to a senescence-like phenotype, including growth retardation, senescence-like morphology and increased expression of Cip1/WAF1/sdi1. In contrast, antisense RNA expression of hic-5 in normal diploid fibroblasts delayed the senescence process.";""
"252";"TLR3";"11849";"7098";"Human";"No";"Induces";"SORBS2 and TLR3 were found to induce senescence in primary human fibroblasts and keratinocytes but not in HPV-immortalized cell lines.";"Primary human keratinocytes and fibroblasts"
"253";"TMSB4X";"11881";"7114";"Human";"No";"Inhibits";"Nucleus pulposus (NP) cells transfected with recombinant TB-4 (TMSB4X) showed slower cell aging, lower levels of apoptosis and higher cell proliferation than the control group.";"Nucleus pulposus human cells"
"254";"TNFSF13";"11928";"8741";"Human";"Yes";"Inhibits";"Knockdown of APRIL (TNFSF13) levels in colon carcinoma cells inhibited cell proliferation and partially led to a senescence phenotype, including characteristic morphology and increased SA-beta-galactosidase activity.";""
"255";"TNFSF15";"11931";"9966";"Human";"No";"Induces";"TL1A (TNFSF15) expression was significantly enhanced in senescent circulating endothelial progenitor cells and knockdown of TL1A partially reverted senescence. Contrastly, TL1A overexpression induced premature senescence in both circulating endothelial progenitor cells and human umbilical vein endothelial cells.";""
"256";"TOP1";"11986";"7150";"Human";"No";"Induces";"Knockdown of topoisomerase I (TOP1) lead to an increased replicative potential, a decrease in senescence markers and a diminished DNA damage response. Conversely, the constitutive expression of TOP1 induced growth arrest and the appearance of a senescence phenotype.";""
"257";"TP63";"15979";"8626";"Human";"No";"Induces";"Expression of the alpha, beta or gamma isoforms of TAp63 (TP63) in foreskin fibroblasts (BJ cells) induced cellular senescence, with cells displaying increased SA-beta-galactosidase activity and decreased BrdU incorporation.";""
